year,prediction,window_start,window_end,rainfall_total,snowfall_total
1948,6 more weeks of winter,1948-02-03,1948-03-15,2.5600000000000005,11.0
1949,6 more weeks of winter,1949-02-03,1949-03-16,3.959999999999999,5.6000000000000005
1950,early spring,1950-02-03,1950-03-16,4.459999999999998,8.5
1951,6 more weeks of winter,1951-02-03,1951-03-16,4.66,8.1
1952,6 more weeks of winter,1952-02-03,1952-03-15,5.09,13.7
1953,6 more weeks of winter,1953-02-03,1953-03-16,2.33,6.9
1954,6 more weeks of winter,1954-02-03,1954-03-16,3.3000000000000003,10.8
1955,6 more weeks of winter,1955-02-03,1955-03-16,5.659999999999999,6.699999999999999
1956,6 more weeks of winter,1956-02-03,1956-03-15,8.16,3.9
1957,6 more weeks of winter,1957-02-03,1957-03-16,1.9500000000000002,8.5
1958,6 more weeks of winter,1958-02-03,1958-03-16,1.68,12.400000000000002
1959,6 more weeks of winter,1959-02-03,1959-03-16,3.6099999999999994,9.2
1960,6 more weeks of winter,1960-02-03,1960-03-15,4.399999999999999,36.49999999999999
1961,6 more weeks of winter,1961-02-03,1961-03-16,5.75,23.900000000000002
1962,6 more weeks of winter,1962-02-03,1962-03-16,4.75,24.900000000000002
1963,6 more weeks of winter,1963-02-03,1963-03-16,5.670000000000002,23.400000000000006
1964,6 more weeks of winter,1964-02-03,1964-03-15,5.390000000000001,15.399999999999999
1965,6 more weeks of winter,1965-02-03,1965-03-16,3.9899999999999993,15.999999999999998
1966,6 more weeks of winter,1966-02-03,1966-03-16,3.599999999999999,7.4
1967,6 more weeks of winter,1967-02-03,1967-03-16,6.33,37.10000000000001
1968,6 more weeks of winter,1968-02-03,1968-03-15,2.47,14.299999999999999
1969,6 more weeks of winter,1969-02-03,1969-03-16,0.68,7.199999999999999
1970,early spring,1970-02-03,1970-03-16,3.4099999999999993,18.500000000000004
1971,6 more weeks of winter,1971-02-03,1971-03-16,6.580000000000001,33.6
1972,6 more weeks of winter,1972-02-03,1972-03-15,6.260000000000001,32.300000000000004
1973,6 more weeks of winter,1973-02-03,1973-03-16,4.0,6.1000000000000005
1974,6 more weeks of winter,1974-02-03,1974-03-16,4.3,2.8000000000000003
1975,early spring,1975-02-03,1975-03-16,7.549999999999999,22.5
1976,6 more weeks of winter,1976-02-03,1976-03-15,4.130000000000001,5.4
1977,6 more weeks of winter,1977-02-03,1977-03-16,2.5500000000000003,6.999999999999999
1978,6 more weeks of winter,1978-02-03,1978-03-16,1.2400000000000002,8.6
1979,6 more weeks of winter,1979-02-03,1979-03-16,3.6600000000000006,14.6
1980,6 more weeks of winter,1980-02-03,1980-03-15,3.6400000000000006,11.6
1981,6 more weeks of winter,1981-02-03,1981-03-16,4.05,13.299999999999997
1982,6 more weeks of winter,1982-02-03,1982-03-16,4.41,14.600000000000001
1983,early spring,1983-02-03,1983-03-16,2.0,15.5
1984,6 more weeks of winter,1984-02-03,1984-03-15,2.749999999999999,16.299999999999997
1985,6 more weeks of winter,1985-02-03,1985-03-16,2.46,3.8000000000000003
1986,early spring,1986-02-03,1986-03-16,4.39,17.0
1987,6 more weeks of winter,1987-02-03,1987-03-16,1.4700000000000002,6.0
1988,early spring,1988-02-03,1988-03-15,2.9799999999999995,11.599999999999998
1989,6 more weeks of winter,1989-02-03,1989-03-16,5.03,9.8
1990,early spring,1990-02-03,1990-03-16,3.1500000000000004,2.5
1991,6 more weeks of winter,1991-02-03,1991-03-16,3.83,7.1
1992,6 more weeks of winter,1992-02-03,1992-03-15,2.8499999999999996,8.9
1993,6 more weeks of winter,1993-02-03,1993-03-16,5.709999999999999,52.400000000000006
1994,6 more weeks of winter,1994-02-03,1994-03-16,4.949999999999999,20.6
1995,early spring,1995-02-03,1995-03-16,2.8800000000000003,15.4
1996,6 more weeks of winter,1996-02-03,1996-03-15,4.409999999999999,16.9
1997,early spring,1997-02-03,1997-03-16,3.26,10.1
1998,6 more weeks of winter,1998-02-03,1998-03-16,3.479999999999999,6.9
1999,early spring,1999-02-03,1999-03-16,2.99,19.299999999999997
2000,6 more weeks of winter,2000-02-03,2000-03-15,3.1799999999999997,6.1
2001,6 more weeks of winter,2001-02-03,2001-03-16,2.54,8.4
2002,6 more weeks of winter,2002-02-03,2002-03-16,2.1500000000000004,7.1000000000000005
2003,6 more weeks of winter,2003-02-03,2003-03-16,3.8000000000000007,28.200000000000006
2004,6 more weeks of winter,2004-02-03,2004-03-15,3.3899999999999992,6.0
2005,6 more weeks of winter,2005-02-03,2005-03-16,4.04,24.5
2006,6 more weeks of winter,2006-02-03,2006-03-16,3.5900000000000007,10.699999999999998
2007,early spring,2007-02-03,2007-03-16,5.12,19.8
2008,6 more weeks of winter,2008-02-03,2008-03-15,6.389999999999998,24.6
2009,6 more weeks of winter,2009-02-03,2009-03-16,1.9000000000000004,7.1
2010,6 more weeks of winter,2010-02-03,2010-03-16,4.129999999999999,48.69999999999999
2011,early spring,2011-02-03,2011-03-16,7.940000000000001,18.3
2012,6 more weeks of winter,2012-02-03,2012-03-15,4.16,18.3
2013,early spring,2013-02-03,2013-03-16,2.729999999999999,21.9
2014,6 more weeks of winter,2014-02-03,2014-03-16,2.8699999999999997,19.3
2015,6 more weeks of winter,2015-02-03,2015-03-16,4.28,20.9
2016,early spring,2016-02-03,2016-03-15,5.08,11.2
2017,6 more weeks of winter,2017-02-03,2017-03-16,3.8600000000000003,13.600000000000001
2018,6 more weeks of winter,2018-02-03,2018-03-16,7.549999999999999,9.7
2019,early spring,2019-02-03,2019-03-16,5.429999999999998,15.700000000000001
2020,early spring,2020-02-03,2020-03-15,4.329999999999999,8.899999999999999
2021,6 more weeks of winter,2021-02-03,2021-03-16,2.9900000000000007,11.799999999999999
2022,6 more weeks of winter,2022-02-03,2022-03-16,6.849999999999999,18.6
2023,6 more weeks of winter,2023-02-03,2023-03-16,2.61,3.2
2024,early spring,2024-02-03,2024-03-15,3.4099999999999997,4.6
2025,6 more weeks of winter,2025-02-03,2025-03-16,5.129999999999999,12.200000000000001
2026,6 more weeks of winter,2026-02-03,2026-03-16,5.170000000000001,14.3
